t A E T
3000.0 -8.053413423524092e-05 -8.770259058973293e-05 4.326491790664858e-08
3010.0 -8.578165971322513e-05 -8.243422633439723e-05 6.079853368971605e-08
3020.0 -9.069061274261559e-05 -7.684050115787269e-05 7.80921681489623e-08
3030.0 -9.524161817540293e-05 -7.094349298551454e-05 9.507756054200544e-08
3040.0 -9.941671365045393e-05 -6.476647677596415e-05 1.1168766688045609e-07
3050.0 -0.0001031994204876734 -5.8333832655122584e-05 1.2785692448077685e-07
3060.0 -0.00010657480872966103 -5.167094969096961e-05 1.4352151103987173e-07
3070.0 -0.00010952955606780495 -4.480412568630841e-05 1.5861959596894014e-07
3080.0 -0.00011205200042469059 -3.776046338211921e-05 1.7309158501749669e-07
3090.0 -0.00011413218598258171 -3.056776348561049e-05 1.8688035458826984e-07
3100.0 -0.00011576190247667174 -2.3254414944399104e-05 1.9993147858423635e-07
3110.0 -0.00011693471760233266 -1.5849282896693284e-05 2.1219344208006662e-07
3120.0 -0.00011764600240188154 -8.38159474364844e-06 2.2361784549084808e-07
3130.0 -0.00011789294953408599 -8.808247919008796e-07 2.341595947943009e-07
3140.0 -0.00011767458435565676 6.62342208088433e-06 2.4377708074288344e-07
3150.0 -0.00011699176876589978 1.41015272703529e-05 2.5243234047641824e-07
3160.0 -0.00011584719780558027 2.152397535095914e-05 2.600912113649321e-07
3170.0 -0.00011424538902125414 2.8861470569479034e-05 2.6672346226455645e-07
3180.0 -0.00011219266463128545 3.608505247143913e-05 2.7230291432106795e-07
3190.0 -0.00010969712657670936 4.316621020832739e-05 2.768075458089861e-07
3200.0 -0.00010676862454137557 5.007699506428848e-05 2.802195749390321e-07
3210.0 -0.00010341871707546398 5.679013077062385e-05 2.8252553511336036e-07
3220.0 -9.966062597606298e-05 6.327912115987756e-05 2.837163233142606e-07
3230.0 -9.550918410086207e-05 6.951835474465213e-05 2.837872398393001e-07
3240.0 -9.098077682493494e-05 7.548320580547509e-05 2.827380049541268e-07
3250.0 -8.609327737022464e-05 8.115013158502445e-05 2.8057276021324455e-07
3260.0 -8.086597625850118e-05 8.649676521002179e-05 2.773000518086193e-07
3270.0 -7.53195051752403e-05 9.150200397058713e-05 2.729327974108735e-07
3280.0 -6.947575553850832e-05 9.614609261090481e-05 2.6748823581026343e-07
3290.0 -6.335779209461624e-05 0.0001004107013028167 2.609878576204398e-07
3300.0 -5.6989761885721524e-05 0.00010427899799095904 2.534573207386504e-07
3310.0 -5.0396798940689075e-05 0.00010773571482747117 2.449263491712461e-07
3320.0 -4.360492507495114e-05 0.00011076720843449742 2.354286159329073e-07
3330.0 -3.664094718410155e-05 0.00011336151375058025 2.2500160989219736e-07
3340.0 -2.9532351440988373e-05 0.0001155083912582226 2.1368648895367468e-07
3350.0 -2.230719480938873e-05 0.00011719936739733322 2.01527914452191e-07
3360.0 -1.499399430603029e-05 0.00011842776801051076 1.8857387936024395e-07
3370.0 -7.621614445694873e-06 0.00011918874468562772 1.7487551431496552e-07
3380.0 -2.1915331676231357e-07 0.00011947929389009534 1.6048688883160537e-07
3390.0 7.184172266526623e-06 0.00011929826882795631 1.4546479795799492e-07
3400.0 1.4559142079961627e-05 0.00011864638396472989 1.298685351788342e-07
3410.0 2.187664781857498e-05 0.0001175262122093956 1.1375966214212797e-07
3420.0 2.9107807985549253e-05 0.00011594217475718898 9.720176255579923e-08
3430.0 3.6224081883278706e-05 0.00011390052364147247 8.026019296507325e-08
3440.0 4.3197382261805326e-05 0.00011140931705667253 6.30018247162569e-08
3450.0 5.000018617560989e-05 0.00010847838755352517 4.549477867755959e-08
3460.0 5.6605643614865116e-05 0.00010511930323131943 2.7808158379943534e-08
3470.0 6.298768347942076e-05 0.00010134532207848912 1.0011775438258184e-08
3480.0 6.912111647881878e-05 9.717133964677274e-05 -7.824125280932355e-09
3490.0 7.498173455236902e-05 9.26138302579361e-05 -2.5629142570140692e-08
