source lGal bGal orbital_period m1 m1e m2 m2e i freq par epar dis edis A eA SNR eSNR
"HM Cnc" 206.9246 23.3952 321.529 0.55 0.0 0.27 nan 38.0 6.22 nan nan 5000.0 nan 6.4 nan 211.1 3.18
"V407 Vul" 57.7281 6.4006 569.395 0.8 0.1 0.18 0.07 60.0 3.51 0.095 0.327 1786.0 667.0 11.0 5.9 169.7 2.17
"ES Cet" 168.9684 -65.8632 620.21 0.8 0.1 0.16 0.06 60.0 3.22 0.596 0.108 1584.0 291.0 10.7 4.6 154.3 2.09
"SDSS J135154.46–064309.0" 328.5021 53.124 943.84 0.8 0.1 0.1 0.04 60.0 2.12 0.596 0.313 1317.0 531.0 6.2 3.5 21.8 0.24
"AM Cvn" 140.2343 78.9382 1028.73 0.68 0.06 0.13 0.01 43.0 1.94 3.351 0.045 299.0 4.0 28.3 3.2 101.2 0.96
"SDSS J190817.07+394036.4" 70.6664 13.9349 1085.7 0.8 0.1 0.09 0.03 15.0 1.84 0.954 0.046 1044.0 51.0 6.1 2.4 20.3 0.13
"HP Lib" 352.0561 32.5467 1102.7 0.65 0.16 0.07 0.02 30.0 1.81 3.622 0.052 276.0 4.0 17.5 3.9 43.7 0.28
"PTF1 J191905.19+481506.2" 79.5945 15.5977 1347.35 0.8 0.1 0.066 0.026 60.0 1.48 0.55 0.327 1338.0 555.0 3.2 1.8 4.0 0.02
"CXOGBS J175107.6–294037" 359.9849 -1.4108 1375.0 0.8 0.1 0.064 0.026 60.0 1.45 1.016 0.146 971.0 156.0 4.2 1.8 4.5 0.02
"CR Boo" 340.9671 66.4884 1471.3 0.89 0.22 0.07 0.02 30.0 1.36 nan nan 337.0 40.0 13.4 4.2 21.9 0.13
"V803 Cen" 309.3671 20.7262 1596.4 0.98 0.2 0.08 0.03 13.0 1.25 nan nan 347.0 30.0 16.0 5.4 26.2 0.17
"SDSS J065133.34+284423.4" 186.9277 12.6886 765.5 0.49 0.02 0.25 0.02 87.0 2.61 1.0 0.476 933.0 493.0 16.2 8.6 90.1 1.13
"SDSS J093506.92+441107.0" 176.0796 47.3776 1188.0 0.75 0.24 0.31 0.02 60.0 1.68 nan nan 645.0 41.0 29.9 7.7 44.9 0.31
"SDSS J163030.58+423305.7" 67.076 43.3604 2389.8 0.76 0.24 0.298 0.019 60.0 0.84 0.937 0.27 1019.0 357.0 11.5 4.9 4.6 0.03
"SDSS J092345.59+302805.0" 195.8199 44.7754 3883.7 0.76 0.23 0.275 0.015 60.0 0.51 3.34 0.173 299.0 10.0 26.4 6.5 5.6 0.06
CD—30$^\circ$11223 322.4875 28.9379 4231.8 0.79 0.01 0.54 0.02 82.9 0.47 2.963 0.08 337.0 9.0 41.5 1.8 4.9 0.04
