source phi0
"HM Cnc" -0.6258027408051742
"V407 Vul" 2.5063557006116763
"ES Cet" 2.173013537167715
"SDSS J135154.46–064309.0" 0.8962501564295202
"AM Cvn" 0.6824080138428282
"SDSS J190817.07+394036.4" 0.5691974677675201
"HP Lib" 0.531460619075751
"PTF1 J191905.19+481506.2" 0.14780265737609619
"CXOGBS J175107.6–294037" 0.11635528346628846
"CR Boo" 0.009434212172942458
"V803 Cen" -0.1163552834662888
"SDSS J065133.34+284423.4" 1.4623028868060601
"SDSS J093506.92+441107.0" 0.3805132243086738
"SDSS J163030.58+423305.7" -0.5943553668953662
"SDSS J092345.59+302805.0" -0.9780133285950207
CD—30$^\circ$11223 -1.0220396520687516
