source phi0
"HM Cnc" 0.3231433194541127
"V407 Vul" 0.30617448135753833
"ES Cet" -0.36857947086453796
"SDSS J135154.46–064309.0" -2.9254008528434405
"AM Cvn" 2.939159443306189
"SDSS J190817.07+394036.4" 2.7068751961718567
"HP Lib" 2.6370758906638168
"PTF1 J191905.19+481506.2" 1.8699769192083204
"CXOGBS J175107.6–294037" 1.80014039986369
"CR Boo" 1.5908920604820334
"V803 Cen" 1.3354096531865325
"SDSS J065133.34+284423.4" -1.7863624633324986
"SDSS J093506.92+441107.0" 2.3348533437288523
"SDSS J163030.58+423305.7" 0.3819087361731896
"SDSS J092345.59+302805.0" -0.38506773791082466
CD—30$^\circ$11223 -0.4780428327809859
